gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,state,property_valuation,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,age
M,35,High Net Worth,Yes,13.0,VIC,9.0,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,55.0
M,35,High Net Worth,Yes,13.0,VIC,9.0,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,55.0
M,35,High Net Worth,Yes,13.0,VIC,9.0,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,55.0
M,35,High Net Worth,Yes,13.0,VIC,9.0,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,55.0
M,35,High Net Worth,Yes,13.0,VIC,9.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,55.0
F,6,Affluent Customer,Yes,11.0,NSW,9.0,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,45.0
F,6,Affluent Customer,Yes,11.0,NSW,9.0,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,45.0
F,6,Affluent Customer,Yes,11.0,NSW,9.0,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,45.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,59.0
M,31,Mass Customer,No,7.0,NSW,4.0,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,59.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,48.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,48.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,48.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,48.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,48.0
F,97,Affluent Customer,Yes,8.0,NSW,12.0,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,48.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,33.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,33.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,0.0,Approved,Solex,Standard,medium,medium,2064.08,388.92,33.0
F,49,Mass Customer,Yes,20.0,NSW,8.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33.0
M,99,Mass Customer,No,9.0,VIC,8.0,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,67.0
M,99,Mass Customer,No,9.0,VIC,8.0,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,67.0
M,99,Mass Customer,No,9.0,VIC,8.0,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,67.0
M,99,Mass Customer,No,9.0,VIC,8.0,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,67.0
M,99,Mass Customer,No,9.0,VIC,8.0,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,67.0
M,99,Mass Customer,No,9.0,VIC,8.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,67.0
M,58,Mass Customer,No,8.0,QLD,4.0,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,27.0
M,58,Mass Customer,No,8.0,QLD,4.0,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,27.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,66.0
M,38,High Net Worth,Yes,8.0,VIC,6.0,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,66.0
F,85,Affluent Customer,No,6.0,NSW,8.0,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,38.0
F,85,Affluent Customer,No,6.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,medium,1084.18,388.92,38.0
F,85,Affluent Customer,No,6.0,NSW,8.0,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,38.0
F,85,Affluent Customer,No,6.0,NSW,8.0,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,38.0
M,91,Mass Customer,No,1.0,NSW,9.0,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,21.0
M,91,Mass Customer,No,1.0,NSW,9.0,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,21.0
M,91,Mass Customer,No,1.0,NSW,9.0,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,21.0
M,91,Mass Customer,No,1.0,NSW,9.0,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,21.0
M,91,Mass Customer,No,1.0,NSW,9.0,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,21.0
M,91,Mass Customer,No,1.0,NSW,9.0,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,21.0
M,38,Mass Customer,Yes,18.0,VIC,4.0,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,44.0
M,38,Mass Customer,Yes,18.0,VIC,4.0,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,44.0
M,38,Mass Customer,Yes,18.0,VIC,4.0,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,44.0
M,38,Mass Customer,Yes,18.0,VIC,4.0,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,44.0
M,38,Mass Customer,Yes,18.0,VIC,4.0,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,44.0
M,57,Affluent Customer,Yes,15.0,VIC,9.0,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,59.0
M,57,Affluent Customer,Yes,15.0,VIC,9.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,59.0
M,57,Affluent Customer,Yes,15.0,VIC,9.0,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,59.0
M,57,Affluent Customer,Yes,15.0,VIC,9.0,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,59.0
M,57,Affluent Customer,Yes,15.0,VIC,9.0,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,59.0
F,79,Affluent Customer,No,11.0,NSW,12.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,1.0,Approved,Solex,Standard,medium,large,202.62,151.96,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,54.0
F,79,Affluent Customer,No,11.0,NSW,12.0,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,54.0
F,76,High Net Worth,No,1.0,NSW,9.0,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,20.0
F,76,High Net Worth,No,1.0,NSW,9.0,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51,20.0
F,76,High Net Worth,No,1.0,NSW,9.0,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,20.0
M,72,Mass Customer,No,11.0,NSW,8.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,41.0
M,72,Mass Customer,No,11.0,NSW,8.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41.0
M,72,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41.0
M,72,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41.0
M,74,Affluent Customer,Yes,16.0,NSW,7.0,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,41.0
M,74,Affluent Customer,Yes,16.0,NSW,7.0,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41.0
M,74,Affluent Customer,Yes,16.0,NSW,7.0,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41.0
M,74,Affluent Customer,Yes,16.0,NSW,7.0,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,41.0
M,74,Affluent Customer,Yes,16.0,NSW,7.0,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,41.0
F,79,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,59.0
F,79,Mass Customer,No,11.0,NSW,8.0,1.0,Cancelled,Trek Bicycles,Standard,medium,large,1469.44,596.55,59.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,medium,2037.77,388.92,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,26.0
M,43,High Net Worth,Yes,1.0,NSW,8.0,1.0,Approved,Solex,Standard,medium,large,202.62,151.96,26.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,0.0,Approved,Solex,Standard,medium,medium,1193.44,388.92,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,44.0
F,55,Mass Customer,Yes,15.0,NSW,10.0,1.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,44.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,45.0
M,72,Mass Customer,Yes,21.0,QLD,3.0,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,45.0
F,12,Mass Customer,Yes,16.0,QLD,5.0,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,43.0
F,12,Mass Customer,Yes,16.0,QLD,5.0,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,43.0
F,12,Mass Customer,Yes,16.0,QLD,5.0,0.0,Approved,Solex,Standard,medium,medium,1697.27,388.92,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,43.0
M,37,Mass Customer,Yes,12.0,VIC,7.0,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,43.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,1.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,48.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,48.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,48.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,48.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,48.0
M,5,Affluent Customer,Yes,21.0,QLD,4.0,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,48.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,53.0
F,62,Mass Customer,No,19.0,QLD,7.0,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,53.0
M,18,Affluent Customer,Yes,6.0,NSW,11.0,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,60.0
M,18,Affluent Customer,Yes,6.0,NSW,11.0,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,60.0
M,18,Affluent Customer,Yes,6.0,NSW,11.0,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,60.0
F,3,High Net Worth,Yes,14.0,NSW,12.0,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,59.0
F,3,High Net Worth,Yes,14.0,NSW,12.0,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,59.0
F,3,High Net Worth,Yes,14.0,NSW,12.0,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,59.0
F,3,High Net Worth,Yes,14.0,NSW,12.0,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,59.0
F,17,Affluent Customer,No,4.0,NSW,9.0,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,26.0
F,17,Affluent Customer,No,4.0,NSW,9.0,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,26.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,0.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,1.0,Cancelled,Solex,Standard,medium,medium,575.27,431.45,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,64.0
M,44,Affluent Customer,Yes,11.0,NSW,9.0,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,64.0
M,59,Affluent Customer,No,20.0,QLD,8.0,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,Solex,Standard,medium,medium,1034.17,388.92,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,78.0
M,59,Affluent Customer,No,20.0,QLD,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,78.0
F,40,High Net Worth,Yes,16.0,QLD,6.0,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,58.0
F,40,High Net Worth,Yes,16.0,QLD,6.0,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,58.0
F,40,High Net Worth,Yes,16.0,QLD,6.0,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,58.0
F,40,High Net Worth,Yes,16.0,QLD,6.0,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,58.0
F,33,Affluent Customer,No,22.0,NSW,8.0,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,44.0
F,33,Affluent Customer,No,22.0,NSW,8.0,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,44.0
F,46,High Net Worth,No,16.0,QLD,1.0,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36.0
