past_3_years_bike_related_purchases,owns_car,tenure,property_valuation,online_order,order_status,list_price,standard_cost,age,F,M,Affluent Customer,High Net Worth,Mass Customer,NSW,QLD,VIC,Giant Bicycles,Norco Bicycles,OHM Cycles,Solex,Trek Bicycles,WeareA2B,Mountain,Road,Standard,Touring,high,low,medium,large,medium,small
6,1,11.0,9.0,1.0,1,360.4,270.3,45.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6,1,11.0,9.0,1.0,1,60.34,45.26,45.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
31,0,7.0,4.0,1.0,1,958.74,748.9,59.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
31,0,7.0,4.0,1.0,1,2091.47,388.92,59.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
31,0,7.0,4.0,1.0,1,774.53,464.72,59.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
31,0,7.0,4.0,0.0,1,642.31,513.85,59.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
31,0,7.0,4.0,1.0,1,1129.13,677.48,59.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
31,0,7.0,4.0,1.0,1,1362.99,57.74,59.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
31,0,7.0,4.0,0.0,1,1129.13,677.48,59.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
31,0,7.0,4.0,0.0,1,1403.5,954.82,59.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
31,0,7.0,4.0,0.0,1,441.49,84.99,59.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
31,0,7.0,4.0,1.0,1,2091.47,388.92,59.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
97,1,8.0,12.0,0.0,1,1061.56,733.58,48.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
97,1,8.0,12.0,0.0,1,752.64,205.36,48.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
97,1,8.0,12.0,0.0,1,945.04,507.58,48.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
97,1,8.0,12.0,0.0,1,792.9,594.68,48.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
97,1,8.0,12.0,0.0,1,227.88,136.73,48.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
97,1,8.0,12.0,1.0,1,1577.53,826.51,48.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
49,1,20.0,8.0,0.0,1,574.64,459.71,33.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
49,1,20.0,8.0,1.0,1,1071.23,380.74,33.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
49,1,20.0,8.0,1.0,1,1769.64,108.76,33.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
49,1,20.0,8.0,0.0,1,792.9,594.68,33.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
49,1,20.0,8.0,0.0,1,2064.08,388.92,33.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
49,1,20.0,8.0,0.0,1,795.34,101.58,33.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
99,0,9.0,8.0,0.0,1,1216.14,1082.36,67.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
99,0,9.0,8.0,1.0,1,1466.68,363.25,67.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
99,0,9.0,8.0,0.0,1,748.17,448.9,67.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
99,0,9.0,8.0,0.0,1,1466.68,363.25,67.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
99,0,9.0,8.0,1.0,1,752.64,205.36,67.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
99,0,9.0,8.0,1.0,1,1129.13,677.48,67.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
58,0,8.0,4.0,0.0,1,1812.75,582.48,27.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
58,0,8.0,4.0,1.0,1,360.4,270.3,27.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
58,0,8.0,4.0,1.0,1,360.4,270.3,27.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
58,0,8.0,4.0,0.0,1,100.35,75.26,27.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
58,0,8.0,4.0,0.0,1,1769.64,108.76,27.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
58,0,8.0,4.0,1.0,1,774.53,464.72,27.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
58,0,8.0,4.0,0.0,1,1216.14,1082.36,27.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
38,1,8.0,6.0,0.0,1,1163.89,589.27,66.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
38,1,8.0,6.0,1.0,1,1216.14,1082.36,66.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
38,1,8.0,6.0,0.0,1,1362.99,57.74,66.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
38,1,8.0,6.0,1.0,1,1061.56,733.58,66.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
38,1,8.0,6.0,1.0,1,495.72,297.43,66.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
38,1,8.0,6.0,0.0,1,1890.39,260.14,66.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
38,1,8.0,6.0,1.0,1,544.05,376.84,66.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
85,0,6.0,8.0,1.0,1,183.86,137.9,38.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
85,0,6.0,8.0,1.0,1,1084.18,388.92,38.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
85,0,6.0,8.0,0.0,1,1636.9,44.71,38.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
85,0,6.0,8.0,1.0,1,688.63,612.88,38.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
91,0,1.0,9.0,0.0,1,544.05,376.84,21.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
91,0,1.0,9.0,0.0,1,1992.93,762.63,21.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
91,0,1.0,9.0,1.0,1,416.98,312.74,21.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
91,0,1.0,9.0,1.0,1,1311.44,1167.18,21.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
91,0,1.0,9.0,0.0,1,71.49,53.62,21.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
91,0,1.0,9.0,1.0,1,586.45,521.94,21.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
38,1,18.0,4.0,0.0,1,2091.47,388.92,44.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
38,1,18.0,4.0,0.0,1,1635.3,993.66,44.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
38,1,18.0,4.0,1.0,1,1636.9,44.71,44.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
38,1,18.0,4.0,0.0,1,1172.78,1043.77,44.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
38,1,18.0,4.0,0.0,1,1227.34,770.89,44.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
57,1,15.0,9.0,0.0,1,478.16,298.72,59.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
57,1,15.0,9.0,1.0,1,1765.3,709.48,59.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
57,1,15.0,9.0,0.0,1,1403.5,954.82,59.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
57,1,15.0,9.0,1.0,1,495.72,297.43,59.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
57,1,15.0,9.0,0.0,1,533.51,400.13,59.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
79,0,11.0,12.0,1.0,1,1179.0,707.4,54.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
79,0,11.0,12.0,0.0,1,1274.93,764.96,54.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
79,0,11.0,12.0,1.0,1,202.62,151.96,54.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
79,0,11.0,12.0,0.0,1,1635.3,993.66,54.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
79,0,11.0,12.0,1.0,1,1458.17,874.9,54.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
79,0,11.0,12.0,1.0,1,1466.68,363.25,54.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
79,0,11.0,12.0,0.0,1,1661.92,1479.11,54.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
76,0,1.0,9.0,0.0,1,1311.44,1167.18,20.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
76,0,1.0,9.0,1.0,1,1289.85,74.51,20.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
76,0,1.0,9.0,0.0,1,1636.9,44.71,20.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
72,0,11.0,8.0,1.0,1,1129.13,677.48,41.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
72,0,11.0,8.0,1.0,1,1635.3,993.66,41.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
72,0,11.0,8.0,0.0,1,1762.96,950.52,41.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
72,0,11.0,8.0,0.0,1,2091.47,388.92,41.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
74,1,16.0,7.0,1.0,1,1793.43,248.82,41.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
74,1,16.0,7.0,0.0,1,2091.47,388.92,41.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
74,1,16.0,7.0,0.0,1,360.4,270.3,41.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
74,1,16.0,7.0,1.0,1,1538.99,829.65,41.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
74,1,16.0,7.0,0.0,1,1661.92,1479.11,41.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
79,0,11.0,8.0,0.0,1,1775.81,1580.47,59.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
79,0,11.0,8.0,0.0,1,642.7,211.37,59.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
79,0,11.0,8.0,1.0,1,1577.53,826.51,59.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
79,0,11.0,8.0,1.0,1,1807.45,778.69,59.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
79,0,11.0,8.0,0.0,1,795.34,101.58,59.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
79,0,11.0,8.0,1.0,1,441.49,84.99,59.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
79,0,11.0,8.0,0.0,1,1036.59,206.35,59.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
79,0,11.0,8.0,1.0,0,1469.44,596.55,59.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
43,1,1.0,8.0,0.0,1,1228.07,400.91,26.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
43,1,1.0,8.0,0.0,1,1807.45,778.69,26.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
43,1,1.0,8.0,1.0,1,2037.77,388.92,26.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
43,1,1.0,8.0,1.0,1,574.64,459.71,26.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
43,1,1.0,8.0,1.0,1,1769.64,108.76,26.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
43,1,1.0,8.0,0.0,1,795.34,101.58,26.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
43,1,1.0,8.0,1.0,1,202.62,151.96,26.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
55,1,15.0,10.0,0.0,1,795.34,101.58,44.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
55,1,15.0,10.0,0.0,1,1193.44,388.92,44.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
55,1,15.0,10.0,1.0,1,1280.28,829.51,44.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
55,1,15.0,10.0,0.0,1,1362.99,57.74,44.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
55,1,15.0,10.0,1.0,1,1274.93,764.96,44.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
55,1,15.0,10.0,0.0,1,71.49,53.62,44.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
55,1,15.0,10.0,0.0,1,1458.17,874.9,44.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
55,1,15.0,10.0,1.0,1,642.31,513.85,44.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
72,1,21.0,3.0,1.0,1,795.34,101.58,45.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
72,1,21.0,3.0,1.0,1,1812.75,582.48,45.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
72,1,21.0,3.0,1.0,1,416.98,312.74,45.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
72,1,21.0,3.0,0.0,1,1292.84,13.44,45.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
72,1,21.0,3.0,0.0,1,575.27,431.45,45.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
72,1,21.0,3.0,0.0,1,227.88,136.73,45.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
72,1,21.0,3.0,0.0,1,1061.56,733.58,45.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
72,1,21.0,3.0,1.0,1,227.88,136.73,45.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
72,1,21.0,3.0,1.0,1,1216.14,1082.36,45.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
72,1,21.0,3.0,1.0,1,60.34,45.26,45.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
72,1,21.0,3.0,1.0,1,1765.3,709.48,45.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
72,1,21.0,3.0,1.0,1,544.05,376.84,45.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
12,1,16.0,5.0,1.0,1,1172.78,1043.77,43.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
12,1,16.0,5.0,1.0,1,1073.07,933.84,43.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
12,1,16.0,5.0,0.0,1,1697.27,388.92,43.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
37,1,12.0,7.0,1.0,1,1890.39,260.14,43.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
37,1,12.0,7.0,0.0,1,202.62,151.96,43.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
37,1,12.0,7.0,0.0,1,441.49,84.99,43.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
37,1,12.0,7.0,1.0,1,1415.01,1259.36,43.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
37,1,12.0,7.0,0.0,1,958.74,748.9,43.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
37,1,12.0,7.0,0.0,1,1216.14,1082.36,43.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
37,1,12.0,7.0,0.0,1,1555.58,818.01,43.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5,1,21.0,4.0,1.0,1,1483.2,99.59,48.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
5,1,21.0,4.0,1.0,1,360.4,270.3,48.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5,1,21.0,4.0,1.0,1,495.72,297.43,48.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
5,1,21.0,4.0,1.0,1,12.01,7.21,48.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5,1,21.0,4.0,1.0,1,1992.93,762.63,48.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
5,1,21.0,4.0,0.0,1,1148.64,689.18,48.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
62,0,19.0,7.0,0.0,1,1179.0,707.4,53.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
62,0,19.0,7.0,0.0,1,1073.07,933.84,53.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
62,0,19.0,7.0,0.0,1,290.62,215.14,53.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
